Start,Stop,Word
0.00,0.50,Rise
0.50,1.00,and
1.00,1.50,shine
1.50,2.00,Mr
2.00,2.50,Freeman
2.50,3.00,Rise
3.00,3.50,and
3.50,4.00,shine
4.00,4.50,not
4.50,5.00,that
5.00,5.50,I
5.50,6.00,wish
6.00,6.50,to
6.50,7.00,imply
7.00,7.50,you
7.50,8.00,have
8.00,8.50,been
8.50,9.00,sleeping
9.00,9.50,on
9.50,10.00,the
10.00,10.50,job
10.50,11.00,no
11.00,11.50,on
11.50,12.00,is
12.00,12.50,more
12.50,13.00,deserving
13.00,13.50,of
13.50,14.00,a
14.00,14.50,rest
14.50,15.00,and
15.00,15.50,all
15.50,16.00,the
16.00,16.50,effort
16.50,17.00,in
17.00,17.50,the
17.50,18.00,world
