Start,Stop,Word
0.00,0.30,Folks,
0.30,0.50,this
0.50,0.70,is
0.70,0.90,not
0.90,1.40,complicated.
1.50,1.70,The
1.70,2.10,mainstream
2.10,2.40,media
2.40,2.70,won't
2.70,3.00,tell
3.00,3.20,you
3.20,3.50,this,
3.50,3.70,but
3.70,3.90,I
3.90,4.30,will.
4.40,4.70,With
4.70,4.90,half
4.90,5.10,my
5.10,5.40,brain
5.40,5.70,tied
5.70,6.00,behind
6.00,6.20,my
6.20,6.60,back
6.60,6.90,just
6.90,7.10,to
7.10,7.40,make
7.40,7.60,it
7.60,8.00,fair.
8.10,8.30,I
8.30,8.50,am
8.50,8.90,equal
8.90,9.30,time.
9.40,9.60,I
9.60,9.80,am
9.80,10.10,the
10.10,10.60,epitome
10.60,10.80,of
10.80,11.20,morality
11.20,11.40,and
11.40,11.90,virtue.
12.00,12.20,I
12.20,12.40,am...
12.50,12.70,the
12.70,12.90,all-knowing,
13.00,13.30,all-sensing,
13.40,13.70,all-everything
13.80,14.30,Maha
14.30,14.80,Rushie! 
