Start,Stop,Word
0.00,0.30,Why
0.30,0.60,would
0.60,0.90,anyone
0.90,1.20,believe
1.20,1.50,that?
1.60,1.80,Have
1.80,2.00,you
2.00,2.30,noticed
2.30,2.60,how
2.60,2.80,they
2.80,3.10,never
3.10,3.40,actually
3.40,3.70,answer
3.70,3.90,the
3.90,4.20,question?
4.30,4.50,They
4.50,4.70,just
4.70,5.00,attack
5.00,5.20,you
5.20,5.50,for
5.50,5.90,asking.
6.00,6.20,But
6.20,6.40,what
6.40,6.80,exactly
6.80,7.00,are
7.00,7.20,they
7.20,7.60,hiding?
7.70,8.00,That's
8.00,8.20,the
8.20,8.50,real
8.50,8.90,question,
9.00,9.20,and
9.20,9.40,no
9.40,9.60,one
9.60,9.90,in
9.90,10.30,Washington
10.30,10.60,wants
10.60,10.80,to
10.80,11.20,talk
11.20,11.40,about
11.40,11.70,it. 
