Start,Stop,Word
0.00,0.30,YO
0.30,0.60,WHAT?!
0.70,0.90,Nah,
0.90,1.20,that's
1.20,1.60,WILD!
1.70,2.00,Chat,
2.00,2.20,are
2.20,2.40,y'all
2.40,2.70,seeing
2.70,3.00,this?!
3.10,3.30,OH
3.30,3.60,MY
3.60,4.00,GOD!
4.10,4.30,No
4.30,4.50,way,
4.50,4.70,no
4.70,4.90,way,
4.90,5.20,no
5.20,5.50,way!
5.60,5.90,This
5.90,6.10,can't
6.10,6.30,be
6.30,6.60,real
6.60,6.90,right
6.90,7.20,now!
7.30,7.60,WHAT
7.60,7.80,IS
7.80,8.20,HAPPENING?!
8.30,8.50,I'm
8.50,8.80,done,
8.80,9.00,bro.
9.10,9.30,I'm
9.30,9.60,literally
9.60,9.90,done.
10.00,10.30,That's
10.30,10.80,CRAZY! 
