Start,Stop,Word
0.00,0.30,Today,
0.30,0.50,I'm
0.50,0.90,giving
0.90,1.30,away
1.30,1.60,ONE
1.60,2.00,HUNDRED
2.00,2.40,THOUSAND
2.40,2.80,DOLLARS
2.80,3.00,to
3.00,3.30,whoever
3.30,3.50,can
3.50,3.80,stay
3.80,4.00,in
4.00,4.20,this
4.20,4.60,circle
4.60,4.90,the
4.90,5.40,longest!
5.50,5.70,That's
5.70,6.00,right,
6.00,6.20,all
6.20,6.40,you
6.40,6.70,have
6.70,6.90,to
6.90,7.10,do
7.10,7.30,is
7.30,7.60,stand
7.60,7.90,here,
7.90,8.10,and
8.10,8.30,you
8.30,8.50,could
8.50,9.10,literally
9.10,9.40,walk
9.40,9.70,away
9.70,9.90,with
9.90,10.30,life-changing
10.30,10.70,money.
10.80,11.10,Last
11.10,11.40,person
11.40,11.60,to
11.60,11.90,leave
11.90,12.30,wins
12.30,12.90,everything! 
